time;temperature at 2m;relative humidity;precipitation;wind_speed
2022-10-14-19-10;13.9;81;0;0.7
2022-10-14-19-20;14;81;0;1.2
2022-10-14-19-30;13.9;81;0;1
2022-10-14-19-40;13.9;82;0;1.1
2022-10-14-19-50;13.7;83;0;1
2022-10-14-20-00;13.5;83;0;1.3
2022-10-14-20-10;13.4;84;0;0.5
2022-10-14-20-20;13.2;85;0;1
2022-10-14-20-30;12.9;86;0;0.6
2022-10-14-20-40;12.7;87;0;0.7
2022-10-14-20-50;12.4;88;0;0.6
2022-10-14-21-00;12.1;89;0;0.4
2022-10-14-21-10;12;90;0;0.8
2022-10-14-21-20;11.9;90;0;1.2
2022-10-14-21-30;11.8;91;0;0.8
2022-10-14-21-40;11.8;91;0;0.8
2022-10-14-21-50;11.7;91;0;1
2022-10-14-22-00;11.5;92;0;0.6
2022-10-14-22-10;11.5;92;0;0.6
2022-10-14-22-20;11.4;93;0;0.8
2022-10-14-22-30;11.1;93;0;0.3
2022-10-14-22-40;10.9;93;0;0.4
2022-10-14-22-50;10.8;94;0;0.9
2022-10-14-23-00;10.7;94;0;0.5
2022-10-14-23-10;10.7;94;0;0.4
2022-10-14-23-20;10.6;95;0;0.5
2022-10-14-23-30;10.5;95;0;0.7
2022-10-14-23-40;10.5;95;0;0.8
2022-10-14-23-50;10.4;95;0;0.7
2022-10-15-00-00;10.2;95;0;0.5
2022-10-15-00-10;10.1;95;0;0.4
2022-10-15-00-20;9.9;95;0;0.4
2022-10-15-00-30;10;95;0;0.6
2022-10-15-00-40;9.9;96;0;0.2
2022-10-15-00-50;9.7;96;0;0.6
2022-10-15-01-00;9.9;95;0;0.7
2022-10-15-01-10;10;96;0;0.4
2022-10-15-01-20;10;96;0;0.4
2022-10-15-01-30;10.1;96;0;0.7
2022-10-15-01-40;10.2;96;0;0.4
2022-10-15-01-50;10.3;96;0;0.4
2022-10-15-02-00;10.4;96;0;0.8
2022-10-15-02-10;10.4;96;0;1
2022-10-15-02-20;10.3;95;0;0.4
2022-10-15-02-30;10.1;95;0;0.7
2022-10-15-02-40;9.7;95;0;0.8
2022-10-15-02-50;9.4;95;0;0.7
2022-10-15-03-00;9;96;0;0.8
2022-10-15-03-10;8.9;96;0;0.5
2022-10-15-03-20;8.9;97;0;0.9
2022-10-15-03-30;8.9;98;0;0.7
2022-10-15-03-40;9.1;97;0;0.5
2022-10-15-03-50;9.3;98;0;0.8
2022-10-15-04-00;9.4;97;0;0.4
2022-10-15-04-10;9.4;98;0;0.4
2022-10-15-04-20;9.5;97;0;0.7
2022-10-15-04-30;9.5;98;0;0.6
2022-10-15-04-40;9.6;97;0;0.8
2022-10-15-04-50;9.6;98;0;0.4
2022-10-15-05-00;9.7;97;0;0.4
2022-10-15-05-10;9.7;98;0;0.5
2022-10-15-05-20;9.7;98;0;0.4
2022-10-15-05-30;9.7;98;0;0.6
2022-10-15-05-40;9.8;98;0;0.9
2022-10-15-05-50;9.9;98;0;0.8
2022-10-15-06-00;9.9;98;0;0.8
2022-10-15-06-10;9.9;97;0;0.4
2022-10-15-06-20;10;98;0;0.6
2022-10-15-06-30;10;97;0;0.5
2022-10-15-06-40;10.1;98;0;0.6
2022-10-15-06-50;10.1;97;0;0.6
2022-10-15-07-00;10.1;97;0;0.4
2022-10-15-07-10;10.2;97;0;0.8
2022-10-15-07-20;10.2;97;0;1.3
2022-10-15-07-30;10.1;97;0;1.1
2022-10-15-07-40;10;97;0;1.4
2022-10-15-07-50;10.1;98;0;1.1
2022-10-15-08-00;10.1;98;0;0.8
2022-10-15-08-10;10.2;98;0;0.5
2022-10-15-08-20;10.3;98;0;0.8
2022-10-15-08-30;10.3;98;0;0.5
2022-10-15-08-40;10.4;98;0;0.4
2022-10-15-08-50;10.6;97;0;0.5
2022-10-15-09-00;10.7;97;0.1;0.5
2022-10-15-09-10;10.8;97;0.1;0.5
2022-10-15-09-20;10.9;97;0.1;0.6
2022-10-15-09-30;11.2;96;0;0.8
2022-10-15-09-40;11.5;95;0;0.6
2022-10-15-09-50;11.8;92;0;0.7
2022-10-15-10-00;12.3;90;0;0.9
2022-10-15-10-10;12.7;87;0;1
2022-10-15-10-20;13;86;0;0.6
2022-10-15-10-30;13.2;86;0;1.1
2022-10-15-10-40;13.2;86;0;1.4
2022-10-15-10-50;13.4;86;0;1.5
2022-10-15-11-00;13.5;85;0;1.5
2022-10-15-11-10;13.8;84;0;1.6
2022-10-15-11-20;13.9;83;0;1.5
2022-10-15-11-30;14;82;0;1.4
2022-10-15-11-40;14.2;82;0;1.2
2022-10-15-11-50;14.4;81;0;1.3
2022-10-15-12-00;14.5;81;0;1.1
2022-10-15-12-10;14.6;80;0;1.5
2022-10-15-12-20;14.8;78;0;1.1
